250,165,32,20
248,166,32,19
246,165,33,19
244,165,32,20
243,165,33,19
241,165,32,20
241,164,32,20
238,165,32,19
236,164,33,19
234,165,32,19
233,165,31,20
231,166,32,19
231,166,32,20
231,165,32,19
231,165,32,19
231,166,32,18
230,165,32,19
231,166,31,18
231,166,32,18
232,166,32,19
232,166,31,19
234,165,31,19
234,166,32,18
236,165,32,19
237,165,32,18
239,165,32,18
240,163,32,21
241,163,32,20
243,163,32,21
243,162,33,21
244,164,32,18
246,164,33,19
247,164,33,19
247,164,34,19
249,162,33,20
251,163,33,20
251,162,34,20
254,163,33,20
254,163,33,19
256,163,33,19
257,163,34,19
259,163,33,19
259,163,34,19
260,163,34,19
262,163,34,19
264,163,33,18
266,162,32,20
265,161,34,21
268,162,33,20
268,163,34,19
270,163,33,19
271,163,33,19
270,162,33,19
270,163,34,19
271,163,33,18
272,163,33,18
270,163,33,19
268,162,33,20
265,162,34,20
262,163,33,19
257,163,33,18
256,165,30,17
257,165,25,16
255,167,23,15
258,167,17,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
261,162,19,15
262,163,21,15
261,163,22,15
262,161,27,17
263,162,30,17
263,162,32,19
264,162,33,19
264,162,33,20
263,163,34,18
265,162,33,19
264,163,33,19
265,162,33,20
264,163,34,18
265,163,34,18
266,163,34,18
266,163,33,19
267,162,34,19
267,162,33,20
267,163,34,19
268,163,34,19
268,163,33,19
269,162,33,19
269,162,33,20
270,163,33,19
270,163,34,18
270,163,34,19
270,163,34,18
270,163,34,19
269,163,33,19
268,163,33,19
265,164,34,18
264,164,34,19
264,163,32,19
263,164,32,18
261,164,33,19
260,164,32,19
259,164,32,19
258,163,33,19
255,163,34,19
255,163,33,19
253,165,33,18
250,164,34,19
248,165,34,19
246,165,33,19
245,165,33,19
242,166,34,18
243,165,34,19
245,167,33,18
246,165,33,19
247,166,34,18
248,166,34,18
251,166,32,18
252,166,33,18
254,166,33,18
254,166,33,18
257,166,32,18
259,166,33,19
259,167,34,18
262,166,33,18
262,166,34,18
264,166,33,18
264,166,33,18
265,166,33,18
265,167,33,18
265,167,34,18
266,167,34,18
265,167,34,18
266,166,34,19
264,167,34,19
262,166,33,19
258,168,33,19
253,168,33,18
248,168,33,18
241,167,34,19
235,168,33,18
229,169,32,18
221,169,33,18
219,168,32,19
211,170,33,18
205,171,32,18
197,170,33,18
190,171,33,18
184,171,34,19
180,171,33,18
176,172,32,18
174,171,32,19
173,171,33,19
173,172,33,19
174,172,34,19
175,172,34,19
176,172,34,19
177,173,34,18
179,174,33,18
180,173,34,20
182,174,34,18
184,174,34,18
188,174,33,18
189,173,34,19
193,174,32,19
195,174,33,19
197,175,32,18
198,174,34,19
201,176,33,18
203,176,33,18
207,175,33,19
208,177,34,18
211,176,33,18
213,176,33,18
214,176,33,19
217,176,33,18
219,177,33,18
221,177,33,18
223,177,34,18
225,178,33,18
227,177,33,18
229,178,34,18
231,177,34,19
234,178,34,18
236,179,33,18
237,179,33,18
238,179,33,18
240,180,32,18
239,179,32,19
237,179,34,18
237,180,33,18
234,181,34,18
232,180,33,19
229,180,34,19
226,181,34,18
223,182,34,18
220,182,33,18
217,182,33,18
214,182,33,19
211,182,33,19
210,183,33,18
212,185,33,17
213,184,34,19
215,183,34,20
216,185,34,18
220,184,33,19
221,186,34,18
224,186,34,18
226,187,33,17
227,187,33,19
230,186,33,19
234,187,33,19
235,188,34,18
239,188,34,18
241,189,34,17
243,189,35,17
248,188,33,17
250,189,33,17
251,188,34,18
254,188,34,17
256,188,34,17
